listPrice,rent,livingArea,rooms,published,constructionYear,objectType,soldDate,soldPrice,soldPriceSource,floor,additionalArea,apartmentNumber,location.address.streetAddress,location.position.latitude,location.position.longitude,location.position.isApproximate,location.region.municipalityName,location.region.countyName,location.distance.ocean,source.url,price_per_sqm
1595000,1464.0,24.0,1.0,2016-01-07 14:51:06,1935.0,Lägenhet,2016-01-21,2500000,bid,3.0,,1305.0,Ekhagsvägen 8,59.37178,18.05527,,Stockholm,Stockholms län,161,http://www.notar.se/,104166.66666666667
1890000,1464.0,24.0,1.0,2016-06-11 08:55:51,1935.0,Lägenhet,2016-06-21,2450000,bid,3.0,,1305.0,Ekhagsvägen 8,59.37178,18.05527,,Stockholm,Stockholms län,161,http://www.husmanhagberg.se/,102083.33333333333
1795000,1374.0,23.0,1.0,2016-04-15 19:10:49,1935.0,Lägenhet,2016-04-28,2300000,bid,1.0,,1105.0,Ekhagsvägen 10,59.3719665,18.0554221,True,Stockholm,Stockholms län,135,http://www.notar.se/,100000.0
1750000,1144.0,25.0,1.0,2017-05-18 16:20:57,1936.0,Lägenhet,2017-06-01,2210000,bid,0.0,0.0,,Torphagsvägen 4,59.37148,18.05388,,Stockholm,Stockholms län,218,http://www.husmanhagberg.se/,88400.0
1895000,1522.0,26.9,1.0,2016-04-01 22:56:37,1968.0,Lägenhet,2016-04-19,2300000,bid,2.0,,1203.0,Docentbacken 1B,59.3705635,18.0585287,True,Stockholm,Stockholms län,298,http://www.notar.se/,85501.85873605948
2150000,2164.0,32.0,2.0,2015-08-11 13:09:47,1939.0,Lägenhet,2015-08-26,2730000,bid,2.0,,,Ekhagsvägen 10,59.3719665,18.0554221,True,Stockholm,Stockholms län,135,http://www.svenskfast.se/,85312.5
2295000,1743.0,29.0,1.0,2018-05-05 04:43:36,1935.0,Lägenhet,2018-05-19,2420000,bid,,,,Ekhagsvägen 9,59.3720466,18.0549855,True,Stockholm,Stockholms län,136,http://www.maklarhuset.se/,83448.27586206897
2495000,2394.0,38.0,2.0,2016-04-22 09:13:43,1935.0,Lägenhet,2016-05-17,3150000,bid,3.0,,,Torphagsvägen 16,59.3720529,18.054052,True,Stockholm,Stockholms län,164,http://www.notar.se/,82894.73684210527
1995000,1696.0,29.0,1.0,2018-06-15 17:16:19,1936.0,Lägenhet,2018-06-18,2400000,maklare,3.0,,,Torphagsvägen 14,59.3721605,18.0535415,True,Stockholm,Stockholms län,166,http://www.maklarhuset.se/,82758.62068965517
1995000,1880.0,31.0,2.0,2017-11-18 16:56:07,1936.0,Lägenhet,2017-12-05,2450000,bid,0.0,0.0,,Åminnevägen 17,59.37119438,18.05355191,,Stockholm,Stockholms län,255,http://www.notar.se/,79032.25806451614
5995000,4990.0,97.0,4.0,2017-06-25 13:40:05,1935.0,Lägenhet,2017-07-08,7500000,bid,3.0,0.0,,Ekhagsvägen 9,59.3720466,18.0549855,True,Stockholm,Stockholms län,136,http://www.notar.se/,77319.58762886598
5100000,3839.0,81.0,3.0,2018-09-11 13:44:43,1936.0,Lägenhet,2018-09-27,6110000,bid,3.0,0.0,1301.0,Ekhagsvägen 5,59.37161719,18.05471583,,Stockholm,Stockholms län,186,http://historiskahem.se/,75432.09876543209
5495000,4483.0,107.0,4.0,2018-08-25 02:56:56,1936.0,Lägenhet,2018-09-06,8050000,bid,3.0,0.0,,Torphagsvägen 4,59.37148,18.05388,,Stockholm,Stockholms län,218,http://www.notar.se/,75233.64485981308
1950000,1865.0,31.0,2.0,2015-06-18 11:26:53,,Lägenhet,2015-07-02,2300000,bid,1.0,,1103.0,Åminnevägen 17,59.37119438,18.05355191,,Stockholm,Stockholms län,255,http://www.notar.se/,74193.54838709677
3975000,2452.0,57.0,2.0,2017-05-03 17:17:48,1935.0,Lägenhet,2017-05-22,4210000,bid,1.0,0.0,1002.0,Ekhagsvägen 11,59.3725786,18.0550844,True,Stockholm,Stockholms län,68,http://www.karlssonuddare.se/,73859.64912280702
3995000,4089.0,73.5,3.0,2015-12-29 14:37:41,1935.0,Lägenhet,2016-01-25,5400000,bid,-1.0,,903.0,Torphagsvägen 16,59.3720529,18.054052,True,Stockholm,Stockholms län,164,http://www.notar.se/,73469.38775510204
2595000,2232.0,37.0,1.0,2017-07-28 13:02:18,1939.0,Lägenhet,2017-09-01,2715000,bid,1.0,,,Ekhagsvägen 8,59.37178,18.05527,,Stockholm,Stockholms län,161,http://www.svenskfast.se/,73378.37837837837
2500000,1400.0,35.0,1.0,2017-09-08 15:22:24,1936.0,Lägenhet,2017-10-06,2560000,bid,0.0,0.0,1003.0,Torphagsvägen 4,59.37148,18.05388,,Stockholm,Stockholms län,218,http://www.husmanhagberg.se/,73142.85714285714
1995000,1885.0,36.0,1.0,2015-08-14 14:04:38,1968.0,Lägenhet,2015-09-07,2610000,bid,3.0,,1302.0,Docentbacken 5,59.3710473,18.0583678,True,Stockholm,Stockholms län,246,http://www.notar.se/,72500.0
2250000,2488.0,39.0,2.0,2017-04-14 15:24:32,1937.0,Lägenhet,2017-04-28,2810000,bid,1.0,,1102.0,Ekhagsvägen 4,59.3713881,18.0550922,True,Stockholm,Stockholms län,186,http://www.skandiamaklarna.se/,72051.28205128205
2250000,2134.0,35.0,2.0,2017-02-13 00:20:36,1935.0,Lägenhet,2017-03-06,2520000,bid,,,1001.0,Torphagsvägen 6,59.3716443,18.0532349,True,Stockholm,Stockholms län,225,http://www.notar.se/,72000.0
3495000,3052.0,47.0,2.0,2016-07-31 06:06:54,,Lägenhet,2016-08-15,3375000,bid,2.0,,,Torphagsvägen 12,59.3722528,18.0531737,True,Stockholm,Stockholms län,171,http://www.notar.se/,71808.51063829787
7495000,5923.0,125.0,4.0,2018-06-09 10:51:27,1936.0,Lägenhet,2018-06-21,8950000,bid,4.0,0.0,,Torphagsvägen 4,59.37148,18.05388,,Stockholm,Stockholms län,218,http://www.notar.se/,71600.0
2350000,2232.0,37.0,2.0,2017-09-15 20:52:01,1935.0,Lägenhet,2017-10-06,2610000,bid,2.0,0.0,,Ekhagsvägen 8,59.37178,18.05527,,Stockholm,Stockholms län,161,http://www.notar.se/,70540.54054054055
3495000,2270.0,56.0,2.0,2017-09-15 12:22:35,1935.0,Lägenhet,2017-09-28,3950000,bid,1.0,,1102.0,Torphagsvägen 4,59.37148,18.05388,,Stockholm,Stockholms län,218,http://www.visionfastighetsmakleri.se/,70535.71428571429
3295000,1919.0,48.0,2.0,2017-04-21 19:46:26,1935.0,Lägenhet,2017-05-12,3375000,bid,2.0,0.0,1104.0,Ekhagsvägen 11,59.3725786,18.0550844,True,Stockholm,Stockholms län,68,http://www.notar.se/,70312.5
2250000,2152.0,37.0,1.5,2016-01-09 01:17:15,1935.0,Lägenhet,2016-02-18,2600000,bid,,,,Ekhagsvägen 8,59.37178,18.05527,,Stockholm,Stockholms län,161,http://www.notar.se/,70270.27027027027
1595000,1681.0,29.0,1.0,2014-08-09 01:06:52,1935.0,Lägenhet,2014-08-26,2025000,bid,5.0,,4614.0,Torphagsvägen 14,59.3721605,18.0535415,True,Stockholm,Stockholms län,166,http://www.notar.se/,69827.58620689655
5750000,5735.0,105.0,4.0,2015-05-26 23:00:41,1935.0,Lägenhet,2015-06-14,7300000,bid,3.0,,,Ekhagsvägen 12,59.3722721,18.0556589,True,Stockholm,Stockholms län,101,http://www.svenskfast.se/,69523.80952380953
2495000,2897.0,47.0,2.0,2018-05-11 22:35:39,1935.0,Lägenhet,2018-05-18,3260000,bid,1.0,,,Ekhagsvägen 12,59.3722721,18.0556589,True,Stockholm,Stockholms län,101,http://www.erasweden.com/,69361.70212765958
2250000,2471.0,38.0,1.0,2016-01-15 23:03:21,,Lägenhet,2016-02-18,2635000,bid,1.0,,1101.0,Åminnevägen 19,59.37103271,18.0540565,,Stockholm,Stockholms län,260,http://www.notar.se/,69342.1052631579
7200000,4472.0,104.0,3.5,2017-08-07 15:31:58,1969.0,Lägenhet,2017-08-14,7200000,bid,6.0,,,Docentbacken 9,59.37124248,18.05782092,,Stockholm,Stockholms län,218,http://www.maklar-centrum.se/,69230.76923076923
2775000,2733.0,56.0,2.0,2016-04-09 08:34:13,1935.0,Lägenhet,2016-05-12,3850000,bid,1.0,,1102.0,Torphagsvägen 4,59.37148,18.05388,,Stockholm,Stockholms län,218,http://www.visionfastighetsmakleri.se/,68750.0
2950000,2584.0,46.0,2.0,2015-11-07 00:44:01,1935.0,Lägenhet,2015-11-28,3160000,bid,2.0,,1204.0,Torphagsvägen 14,59.3721605,18.0535415,True,Stockholm,Stockholms län,166,http://www.bjurfors.se/,68695.65217391304
