Song;Artist(s);Link;Chords;Chords 2
"""Blinding Lights""";The Weeknd;https://tabs.ultimate-guitar.com/tab/the-weeknd/blinding-lights-chords-2908700;['C', 'Dm', 'Am'];Am, C, Dm
"""Shape of You""";Ed Sheeran;https://tabs.ultimate-guitar.com/tab/ed-sheeran/shape-of-you-chords-1928439;Dm, G#m, B, C#;
"""Someone You Loved""";Lewis Capaldi;https://tabs.ultimate-guitar.com/tab/lewis-capaldi/someone-you-loved-chords-2512737;D, A, Bm, G, Em, Em7, Bm7;
"""As It Was""";Harry Styles;https://tabs.ultimate-guitar.com/tab/harry-styles/as-it-was-chords-4134073;C#m, F#, B, E;
"""Starboy""";The Weeknd and Daft Punk;https://tabs.ultimate-guitar.com/tab/the-weeknd/starboy-chords-1877405;A5, Am, G/A, F/A, G6/A, Fmaj7, G, F, Cmaj7, G6, Cadd9, G/B;
"""Sunflower""";Post Malone and Swae Lee;https://tabs.ultimate-guitar.com/tab/post-malone/sunflower-chords-2497134;D, G, Em;
"""One Dance""";Drake featuring Wizkid and Kyla;https://tabs.ultimate-guitar.com/tab/drake/one-dance-chords-1835830;['C#', 'A#m', 'D#m'];D#m, A#m, C#
"""Sweater Weather""";The Neighbourhood;https://tabs.ultimate-guitar.com/tab/the-neighbourhood/sweater-weather-chords-1237978;F#, D#m, A#m, C#, G#;
"""Stay""";The Kid Laroi and Justin Bieber;https://tabs.ultimate-guitar.com/tab/the-kid-laroi/stay-chords-3781055;G, A, Bm, F#m ;
"""Believer""";Imagine Dragons;https://tabs.ultimate-guitar.com/tab/imagine-dragons/believer-chords-1941491;Bm, G, F#, F#/A#, A, F#7, F#7/A#;
"""Heat Waves""";Glass Animals;https://tabs.ultimate-guitar.com/tab/glass-animals/heat-waves-chords-3226007;['C#m7', 'G#m', 'B', 'C#m', 'F#'];
"""Perfect""[A]";Ed Sheeran;https://tabs.ultimate-guitar.com/tab/ed-sheeran/perfect-chords-1956589;A, F#m, D, E, E/G#, A/C#;
"""Dance Monkey""";Tones And I;https://tabs.ultimate-guitar.com/tab/tones-and-i/dance-monkey-chords-2787730;F#m, D, E, C#m ;
"""Lovely""";Billie Eilish and Khalid;https://tabs.ultimate-guitar.com/tab/billie-eilish/lovely-chords-2371539;Em, C, Bm, Cmaj7/E;
"""Say You Won't Let Go""";James Arthur;https://tabs.ultimate-guitar.com/tab/james-arthur/say-you-wont-let-go-chords-1874747;C#, G#, A#m, F#;
"""Rockstar""";Post Malone and 21 Savage;https://tabs.ultimate-guitar.com/tab/post-malone/rockstar-chords-2150947;['Cm', 'A#', 'D#', 'Gm'];
"""Closer""";The Chainsmokers and Halsey;https://tabs.ultimate-guitar.com/tab/the-chainsmokers/closer-chords-1865744;['D#', 'C#', 'Fm'];Fm, D#, C#
"""Something Just Like This""";The Chainsmokers and Coldplay;https://tabs.ultimate-guitar.com/tab/the-chainsmokers/something-just-like-this-chords-1953009;G, A, Bm, D/F#, Bsus4, D;
"""Riptide""";Vance Joy;https://tabs.ultimate-guitar.com/tab/vance-joy/riptide-chords-1237247;Bm, A, D, Gmaj7;G#, A#m, C#
"""Watermelon Sugar""";Harry Styles;https://tabs.ultimate-guitar.com/tab/harry-styles/watermelon-sugar-chords-2895911;Dm7, Am7, C, G;
"""Señorita""";Shawn Mendes and Camila Cabello;https://tabs.ultimate-guitar.com/tab/2736555;Am, C, Fmaj7, Em, G;
"""Take Me to Church""";Hozier;https://tabs.ultimate-guitar.com/tab/hozier/take-me-to-church-chords-1442757;A5, G5, F#5, F5, Em, Am;
"""Another Love""";Tom Odell;https://tabs.ultimate-guitar.com/tab/tom-odell/another-love-chords-1198980;Em, G, C, Bm, Am;
"""Don't Start Now""";Dua Lipa;https://tabs.ultimate-guitar.com/tab/dua-lipa/dont-start-now-chords-4582970;Am, Em, C, G, D, Bm;
"""Counting Stars""";OneRepublic;https://tabs.ultimate-guitar.com/tab/onerepublic/counting-stars-chords-1233464;Fm, G#, D#, C#, A#m;
"""Photograph""";Ed Sheeran;https://tabs.ultimate-guitar.com/tab/ed-sheeran/photograph-chords-1493446;F#, D#m, C#, B;
"""Lucid Dreams""";Juice Wrld;https://tabs.ultimate-guitar.com/tab/juice-wrld/lucid-dreams-chords-2397395;['F', 'G', 'E', 'Am'];Am, F, G, E
"""Yellow""";Coldplay;https://tabs.ultimate-guitar.com/tab/coldplay/yellow-chords-114080;D#, A#, G#, G#maj7, D#sus4, Cm7, A#m7;
"""I Wanna Be Yours""";Arctic Monkeys;https://tabs.ultimate-guitar.com/tab/arctic-monkeys/i-wanna-be-yours-chords-1416606;Cm, Fm, Gm, Bb, Ab;
"""Cruel Summer""";Taylor Swift;https://tabs.ultimate-guitar.com/tab/taylor-swift/cruel-summer-chords-2802752;E, B, F#, D#m, G#m;
